Word,Imageability,Consistency
bird,High,Con
branch,High,Con
brick,High,Con
keg,High,Con
cape,High,Con
chain,High,Con
cloud,High,Con
dawn,High,Con
pole,High,Con
floor,High,Con
fresh,High,Con
foil,High,Con
gun,High,Con
globe,High,Con
hedge,High,Con
line,High,Con
life,High,Con
goat,High,Con
moon,High,Con
meal,High,Con
fudge,High,Con
frill,High,Con
park,High,Con
pipe,High,Con
point,High,Con
pill,High,Con
pale,High,Con
room,High,Con
sob,High,Con
sky,High,Con
ship,High,Con
sneer,High,Con
sock,High,Con
spoon,High,Con
steam,High,Con
sweep,High,Con
throat,High,Con
tile,High,Con
vine,High,Con
week,High,Con
bide,Low,Con
bribe,Low,Con
bring,Low,Con
curse,Low,Con
came,Low,Con
chill,Low,Con
cope,Low,Con
dumb,Low,Con
pop,Low,Con
flair,Low,Con
frock,Low,Con
fill,Low,Con
gape,Low,Con
greed,Low,Con
hence,Low,Con
large,Low,Con
luck,Low,Con
gain,Low,Con
meek,Low,Con
mirth,Low,Con
fraud,Low,Con
frank,Low,Con
place,Low,Con
pledge,Low,Con
price,Low,Con
pomp,Low,Con
poor,Low,Con
wrest,Low,Con
sense,Low,Con
scorn,Low,Con
sheer,Low,Con
slang,Low,Con
soon,Low,Con
spite,Low,Con
stale,Low,Con
swell,Low,Con
think,Low,Con
tame,Low,Con
vile,Low,Con
wish,Low,Con
bush,High,Icon
breast,High,Icon
broad,High,Icon
key,High,Icon
case,High,Icon
cheese,High,Icon
class,High,Icon
down,High,Icon
post,High,Icon
flood,High,Icon
frost,High,Icon
foul,High,Icon
gas,High,Icon
glove,High,Icon
height,High,Icon
limb,High,Icon
love,High,Icon
geese,High,Icon
monk,High,Icon
mouth,High,Icon
foot,High,Icon
friend,High,Icon
pint,High,Icon
pear,High,Icon
pass,High,Icon
poll,High,Icon
path,High,Icon
rough,High,Icon
son,High,Icon
ski,High,Icon
shoe,High,Icon
snow,High,Icon
soot,High,Icon
sphere,High,Icon
steak,High,Icon
sweat,High,Icon
throw,High,Icon
town,High,Icon
vase,High,Icon
wood,High,Icon
base,Low,Icon
break,Low,Icon
brood,Low,Icon
cache,Low,Icon
caste,Low,Icon
choose,Low,Icon
cost,Low,Icon
done,Low,Icon
put,Low,Icon
flow,Low,Icon
front,Low,Icon
full,Low,Icon
gone,Low,Icon
grow,Low,Icon
halve,Low,Icon
lease,Low,Icon
lose,Low,Icon
give,Low,Icon
mood,Low,Icon
mould,Low,Icon
phase,Low,Icon
phrase,Low,Icon
plait,Low,Icon
plead,Low,Icon
prow,Low,Icon
pull,Low,Icon
push,Low,Icon
wrath,Low,Icon
salve,Low,Icon
scarce,Low,Icon
show,Low,Icon
slow,Low,Icon
soul,Low,Icon
spook,Low,Icon
stood,Low,Icon
swear,Low,Icon
threat,Low,Icon
tow,Low,Icon
vow,Low,Icon
wear,Low,Icon